1, 3, 5, 8, 10, 5040
1, 3, 7, 7, 10, 2520
2, 3, 4, 5, 8, 317520
1, 1, 4, 7, 9, 720
1, 3, 5, 6, 8, 5040
6, 6, 6, 6, 10, 4839460
2, 5, 6, 9, 10, 317520
1, 1, 3, 5, 7, 720
1, 1, 1, 4, 9, 90
3, 5, 5, 7, 7, 837900
1, 4, 6, 9, 10, 5040
1, 2, 2, 8, 8, 1260
1, 2, 3, 5, 7, 5040
2, 5, 5, 6, 7, 158760
1, 1, 2, 3, 7, 720
3, 4, 7, 8, 9, 3351600
2, 2, 2, 3, 4, 19710
1, 1, 5, 6, 10, 720
1, 2, 5, 6, 9, 5040
2, 5, 9, 10, 10, 158760
6, 9, 10, 10, 10, 26066040
1, 2, 7, 7, 9, 2520
1, 3, 7, 9, 10, 5040
7, 8, 8, 8, 10, 59634120
2, 3, 4, 5, 10, 317520
2, 5, 7, 7, 10, 158760
1, 1, 4, 4, 10, 360
3, 7, 8, 8, 9, 1675800
3, 3, 3, 6, 6, 157005
2, 3, 6, 8, 10, 317520
3, 3, 5, 5, 8, 579960
1, 1, 6, 9, 9, 360
2, 6, 7, 10, 10, 158760
2, 6, 9, 9, 10, 158760
5, 7, 8, 8, 9, 29053080
1, 5, 5, 9, 9, 1260
4, 7, 7, 10, 10, 4242420
1, 2, 3, 5, 10, 5040
1, 3, 3, 3, 9, 840
1, 2, 6, 6, 6, 840
1, 1, 3, 5, 8, 720
4, 4, 4, 8, 9, 1896030
2, 5, 6, 6, 7, 158760
1, 1, 1, 1, 7, 10
1, 1, 5, 5, 9, 360
1, 2, 5, 7, 8, 5040
2, 9, 9, 9, 10, 52920
1, 1, 7, 8, 10, 720
2, 2, 4, 6, 7, 86400
1, 3, 5, 7, 7, 2520
2, 3, 4, 7, 8, 317520
5, 6, 6, 6, 10, 9684360
1, 1, 1, 5, 6, 90
1, 6, 8, 8, 9, 2520
4, 6, 6, 8, 8, 4242420
1, 2, 3, 3, 10, 2520
6, 7, 8, 8, 8, 26066040
1, 2, 7, 9, 10, 5040
1, 5, 7, 7, 10, 2520
1, 2, 3, 6, 9, 5040
2, 4, 5, 7, 7, 158760
5, 5, 8, 9, 9, 11904840
2, 5, 6, 8, 10, 317520
2, 3, 3, 5, 8, 158760
2, 2, 4, 4, 8, 43200
6, 8, 10, 10, 10, 26066040
1, 5, 5, 6, 7, 2520
1, 6, 9, 10, 10, 2520
4, 5, 5, 8, 8, 4242420
3, 3, 4, 8, 8, 579960
1, 2, 2, 2, 7, 840
3, 4, 4, 4, 7, 558600
3, 5, 7, 9, 10, 3351600
2, 4, 5, 10, 10, 158760
1, 6, 6, 10, 10, 1260
4, 6, 6, 9, 9, 4242420
3, 4, 5, 7, 10, 3351600
1, 3, 7, 8, 10, 5040
2, 7, 8, 9, 10, 317520
4, 4, 4, 6, 7, 1896030
2, 3, 6, 6, 9, 158760
1, 1, 4, 5, 10, 720
3, 4, 6, 7, 10, 3351600
2, 5, 6, 7, 8, 317520
1, 1, 1, 2, 6, 90
2, 3, 5, 7, 7, 158760
1, 5, 7, 9, 9, 2520
1, 2, 3, 6, 6, 2520
4, 4, 6, 7, 10, 6547680
1, 1, 2, 2, 5, 360
2, 6, 8, 10, 10, 158760
1, 4, 6, 6, 6, 840
2, 2, 3, 8, 8, 43200
1, 2, 4, 4, 7, 2520
2, 6, 6, 8, 8, 79380
1, 5, 8, 10, 10, 2520
4, 5, 5, 5, 8, 2828280
2, 3, 4, 6, 8, 317520
3, 3, 3, 7, 10, 314010
3, 4, 7, 9, 10, 3351600
2, 4, 7, 7, 8, 158760
2, 3, 4, 8, 10, 317520
3, 3, 5, 7, 7, 579960
2, 2, 4, 4, 4, 14400
7, 7, 7, 7, 9, 11625670
2, 2, 3, 3, 3, 14400
2, 2, 9, 9, 10, 43200
1, 2, 4, 8, 8, 2520
3, 4, 8, 8, 8, 558600
8, 8, 9, 9, 9, 54007920
2, 2, 8, 9, 9, 43200
1, 2, 2, 3, 4, 2520
2, 3, 3, 6, 8, 158760
2, 2, 4, 5, 8, 86400
1, 1, 1, 2, 9, 90
5, 7, 8, 9, 10, 58106160
1, 1, 5, 6, 7, 720
3, 8, 8, 8, 10, 558600
2, 2, 3, 7, 10, 86400
6, 6, 7, 9, 10, 66553920
5, 5, 5, 10, 10, 3569805
6, 6, 7, 7, 9, 33276960
1, 6, 7, 8, 10, 5040
4, 4, 7, 8, 10, 6547680
1, 4, 6, 6, 9, 2520
1, 2, 2, 5, 9, 2520
1, 1, 3, 3, 8, 360
1, 1, 1, 6, 6, 45
2, 2, 4, 10, 10, 43200
2, 3, 5, 10, 10, 158760
5, 8, 8, 8, 9, 9684360
3, 3, 8, 10, 10, 579960
1, 3, 3, 3, 4, 840
1, 2, 4, 7, 7, 2520
2, 4, 4, 9, 10, 158760
2, 4, 8, 9, 9, 158760
3, 4, 6, 6, 10, 1675800
4, 6, 8, 8, 9, 8484840
2, 3, 3, 7, 9, 158760
3, 3, 7, 10, 10, 579960
1, 1, 1, 1, 10, 10
5, 6, 6, 8, 8, 14526540
3, 4, 4, 7, 10, 1675800
1, 3, 3, 3, 10, 840
3, 6, 8, 8, 8, 558600
1, 1, 2, 3, 3, 360
1, 1, 3, 9, 10, 720
1, 7, 7, 7, 8, 840
3, 4, 4, 5, 5, 837900
1, 3, 8, 8, 9, 2520
4, 4, 7, 7, 8, 3273840
6, 7, 7, 9, 10, 78198120
4, 4, 5, 6, 10, 6547680
1, 4, 4, 8, 9, 2520
2, 4, 4, 4, 4, 13230
5, 5, 9, 9, 10, 11904840
2, 2, 7, 10, 10, 43200
3, 7, 7, 9, 9, 837900
1, 3, 3, 4, 7, 2520
6, 8, 9, 10, 10, 78198120
1, 6, 6, 7, 9, 2520
1, 1, 6, 7, 10, 720
4, 5, 6, 7, 9, 16969680
2, 7, 8, 8, 9, 158760
5, 6, 9, 9, 10, 29053080
2, 2, 2, 6, 10, 19710
3, 8, 9, 10, 10, 1675800
1, 2, 6, 8, 8, 2520
1, 2, 4, 7, 8, 5040
4, 5, 5, 6, 7, 8484840
1, 1, 3, 5, 9, 720
1, 2, 6, 6, 10, 2520
2, 2, 2, 4, 4, 9855
1, 5, 8, 8, 10, 2520
2, 4, 4, 6, 8, 158760
1, 2, 2, 4, 5, 2520
3, 4, 5, 7, 7, 1675800
2, 3, 3, 8, 9, 158760
1, 1, 4, 6, 6, 360
2, 6, 6, 6, 7, 52920
3, 3, 3, 6, 10, 314010
2, 3, 6, 6, 6, 52920
1, 3, 4, 4, 8, 2520
2, 2, 2, 2, 7, 3820
